Table 1-1
Name,Brand,Type,Origin,Theme,Daytime,Temp,Brew,Quantity,Repurchase?,Collection,Since,Description,Additives,Aroma Notes
Scottish Breakfast,Taylors of Harrogate,Black (Red),Kenya,Breakfast,Morning,90℃,5 min,Empty,Maybe?,History,2023,"A strong blend of tippy orthodox tea. We select fine Kenyan tea for its refreshing, bright flavour, and blend it with second flush Assam tea from the best gardens in Brahmaputra Valley. The whole, rolled leaves are flecked with gold tips - the flavourful young leaf buds which mark the very best teas.",,"Malt, full"
Australian Breakfast Tea,Tea Chest,Black (Red),Australia,Breakfast,Morning,95℃,4 - 5 min,Empty,No,History,2022,"Premium Australian black tea grown at the foothills of the Daintree Rainforest, teamed with organically grown Australian Native Lemon Myrtle, this tea is an uplifting and refreshing lemon scented infusion.",Lemon myrtle,"Earthy, nutty, woddy"
Evening Tea,Mariage Frères,Black (Red),India / Ceylon,,Evening,90℃,5 min,Full,,Testing,2024,"A soothing blend of handsome leaf teas from India, and Ceylon. Its round yet mild flavour is perfect for evening.",,
Christmas Tea,Dammann Frères,Black (Red),n.a.,Christmas,Day,90℃,5 min,Full,Yes,Core,2014,"Deliciously fruity, a black tea blending the flavors of orange and pineapple with a hint of maraschino and caramel. A great Christmas tea, smooth, subtle, all in nuances !","Orange peel, flavors (maraschino, caramel, pineapple) and sweet orange essential oil","Orange, caramel, pineapple, maraschino"
Thé au Tibet,Mariage Frères,Black (Red),China,,Day,90℃,5 min,Full,No,Testing,2014,"Black China tea scented with vanilla, jasmine, mandarin orange, rose, and bergamot.",Flavors,"Vanilla, jasmine, mandarin orange, rose, bergamot"
Pettiagalia,Palais de Thés,Black (Red),Sri Lanka,Specials - Orange Pekoe,Day,90℃,3 - 5 min,Half,Unavailable,Testing,2023,"Pettiagalla O.P is a black tea from Sri Lanka (Ceylon) with superb, regular leaves. Richly aromatic and full bodied, this is a magnificent orange pekoe.",,
Chaï,Palais de Thés,Black (Red),China,,Day,90℃,5 min,Half,Yes,Core,2007,"Inspired by the Indian tradition of spiced tea, Chai Impérial is a delicate black tea paired with a sumptuous blend of green cardamom, pink peppercorns, cinnamon, ginger and orange zest.
Scattered with precious spices, this flavoursome and warming tea can be enjoyed on its own or with milk, in the Indian tradition.","Green cardamom, pink peppercorns, cinnamon, ginger and orange zest",Spice
Daisi,Palais de Thés,Black (Red),Georgia,Specials - Grand Crus,Day,90℃,4 min,Full,,Testing,2024,"A black tea from the town of Ozurgeti in the Guria province of Georgia. ""Daisi"" means ""sunset"", referring to the light roasting of the leaves during manufacture. This gourmet Grand Cru reveals intense notes reminiscent of dark chocolate, honey and
red fruits that blossom against a smooth texture.
",,"Cocoa, honeyed, toasted, fruity (red fruits)"
Jukro,Palais de Thés,Black (Red),South Korea,Specials - Grand Crus,Day,90℃,4 min,Half,,Testing,2024,"Cho Yun-Seok is a master of tea crafting. He creates this extraordinary Grand Cru every year. Jukro is harvested in May along the heights of Jirisan. Once subtly oxidised and dried, its leaves develop unique, unforgettable notes.
This tea reveals superbly precise and intense cocoa fragrances, which develop into caramelised and vanilla notes. An enchanting taste!
",,"cocoa right at the start, caramel, spices, honey, sweet spices, vanilla sugar, cooked fruits, floral hint and roasted final (roasted cocoa beans)"
Afternoon Darjeeling,Taylors of Harrogate,Black (Red),Tibet,,Day,90℃,5 min,Full,No,Testing,2023,"A classic blend of rolled orthodox teas, selected from gardens in the Himalayan foothills at the peak of the prized second flush harvest. The region's unique climate of cool, misty air and rich soil means the leaves grow slowly, developing that iconic Darjeeling flavour reminiscent of Muscat grapes. It's delicate, floral and subtly sweet.",,"Floral, sweet"
Christmas Black Tea,Fortnum & Mason,Black (Red),n.a.,Christmas,Day,100℃,5 min,Half,Maybe?,Range,2024,"A warming combination of cocoa nibs, zesty clementine and soothing Christmas spices, our Christmas Black Tea is best enjoyed beside a crackling fire with some all-butter shortbread. Delve straight into the festivities with a yuletide brew perfect for warding off the winter chill.","Cacao nibs, cloves, safflower petals, flavourings (orange, ginger, clementine, chocolate)","Sweet, rich, spiced"
Noël en Laponie,Dammann Frères,Green,n.a.,Christmas,Day,80℃,3 min,Full,,Testing,2026,"A sweet and mild infusion, enhanced with a slight bitterness that pairs perfectly with a hint of cinnamon and fruity notes of orange and cranberry, for a cup that deliciously evokes panettone and barley sugar.","Cinnamon, pink peppercorn, flavours (bitter orange, cranberry)","Spiced, bitter, sweet"
Bancha Hojicha,Palais de Thés,Green,Japan,,Evening,90℃,2 min ,Full,,Testing,2022,"The roasting process gives this thirst-quenching, low-caffeine green tea its brown colour and pleasant woody aroma.",,Woody
Jasmin Chung Feng,Mariage Frères,Green,n.a.,Nostalgia,Day,85℃,5 min,Full,,Core,2022,The Champagne of green tea scented with jasmine flowers comes from an outstanding harvest.,Jasmine flowers,Jasmine
Thé Vert Marco Polo,Mariage Frères,Green,China / Tibet,,Day,95℃,3 min,Full,Yes,Core,2011,"This composition, celebrating the third millenary, is a green tea was carefully chosen for its smooth, natural flavour, then wed to secret fragrances evoking fruit and flowers from China and Tibet, as already made famous by the ‘Marco Polo’ blend.
The quintessential French tea.",,"Fruity, floral"
Yuzu Bouquet,Mariage Frères,Green,Japan,,Day,80℃,3 min,Half,Yes; different format,Range,2021,"Known to be low in theine, 'kukicha' green tea is perfect for sharing, bringing all generations together with its enveloping and comforting liqueur. Paired with tasty morsels of Japanese yuzu, it carries with it the dashing spring scent of this invigorating citrus fruit's flowers, emblematic of the land of the rising sun. It is the sweet and poetic symbol of eternal renewal, joyful and luminous.",Yuzu,"Citrus, silky green, umami"
Genmaicha Yama,Palais de Thés,Green,Japan,Nostalgia,Day,75℃,3 min,Full,,Core,2000,"Genmaicha Yama is a traditional Japanese tea that blends Bancha green tea with roasted brown rice. Refreshing plant notes beautifully complement the toasted flavor of the grain, giving the tea a very characteristic flavor.
This unusual tea is delicious either hot or iced and pairs well with meals.",Roasted rice,"Vegetal, rice"
Thé du Louvre Coté Jardin,Palais de Thés,Green,China,,Day,75℃,3 min,Half,Yes,Core,2023,"The fruit of a collaboration between the Louvre Museum and Palais des Thés, the thés du Louvre are fragrant new blends which pay homage to the two faces of the Louvre: the monumental aspect of the palace with its elegant architecture and the poetic charm of the Tuileries Garden.

The Thé du Louvre - Garden Tea is reminiscent of a gentle stroll through the Tuileries Garden, between colourful flowerbeds and shady copses.","Plum (plum, rice flour) (4%), apple (3%), flavours (plum, quince 1%), cornflowers petals","Fruit, floral"
Brasilia,Mariage Frères,Infusion,Brazil,Maté,Morning,80℃,5 min,Full,,Testing,2024,"A brisk, energetic blend of high plateau teas with Brazilian maté.
A very strong tea, high in theine, stimulant on awakening, preferably without milk.",,Vegetal
Latin Lover,Mariage Frères,Infusion,Brazil,Maté,Morning,80℃,5 min,Full,,Testing,2024,"This blend of imperial spices – cloves, cinnamon, ginger, cardamom and pepper – warms the palate, enhanced by the voluptuous texture of yerba mate. LATIN LOVER is a drink with a tenderly passionate temperament! ",Spices,"Cloves, cinnamon, ginger, cardamom and pepper"
Polo Club,Mariage Frères,Infusion,Brazil,Maté,Morning,80℃,5 min,Full,,Testing,2024,"To evoke this elegant universe, MARIAGE FRÈRES has imagined a green mate whose intense flavours harmonise with velvety notes of flowers and fruits, and a sweet hint of honey and vanilla. This variation of a “must-have” from MARIAGE FRÈRES is astonishing and opens up the taste horizons far and wide.",Flavors,"Flowers, fruit, vanilla, honey"
Mate Verde Chimarrão,Palais de Thés,Infusion,Brazil,Maté,Morning,80℃,5 min,Full,,Testing,2022,"This Brazilian mate is particularly round and fresh with very smooth vegetal notes. Its aromatic profile and the distinct size of its leaves make it an ideal mate to prepare traditionally in a calabash.
Mate is an infusion that originates in South America. It is also known as ""Chimarrão"", or ""Jesuit's tea"". Its name is derived from the quechua word ""mathi"", and refers to the hollowed-out dried gourd which constitutes the calabash from which it is traditionally drunk. It is made out of a yerba mate tree, which is a type of holly tree. This tree is native to South America, and is cultivated in four countries: Argentina, Brazil, Paraguay and Uruguay. This tree can only grow in subtropical climates, with high humidity and a lot of sunshine. Once the leaves are harvested, they are heated up to stop oxidation, then they are chopped and stored for several months to increase their aromatic concentration. The leaves are then graded and mixed together to obtain the grade required (with or without stems/large or small leaves, etc.).
Originally, it was at the centre of the native American Guaraní's diet due to the health benefits it provided. Providing a natural energy boost and health benefits due to its caffeine and mineral content, mate is the ideal drink for post-sports recovery.",,Vegetal
Cacao Husk Tea,/,Infusion,Peru,,Evening,95℃,5 min,Full,,Range,2021,It’s a natural tonic infusion made from the husks of perfectly roasted cacao beans. It’s a unique brewed drink that sits somewhere in between dark chocolate and tea.,,Cacao
Rouge Sahara,Mariage Frères,Infusion,South Africa,Rooibos,Evening,95℃,5 min,Half,No,Testing,2016,"This red rooibos from South Africa, naturally free of theine, is blended with mint leaves and rose petals, creating a contrast between the gentle, enveloping undertones of red tea and the fresh, peppery, aromatic notes of mint, modulated by the flowery, sparkling effect of rose petals.","Mint, rose petals","Honey, mint, rose"
Hammam Rooibos,Palais de Thés,Infusion,South Africa,Rooibos,Evening,95℃,5 min,Half,,Testing,2017,"Inspired by a traditional Turkish recipe, Hammam Rooibos is a rich, fruity tea created by Palais des Thes.
This recipe is an original combination of green date pulp, rich red fruit and the mellow roundness of Rooibos.

Native to South Africa, the Aspalathus linearis, or Rooibos bush as it is commonly known, is a different plant from the tea plant, which gives a pleasant beverage with no caffeine and almost no tannin.","Flavours (including strawberry 2%), flower petals (safflower, rose, marigold) (3%)","Floral, honey"
Rooibos Nature,Palais de Thés,Infusion,South Africa,Rooibos,Evening,95℃,5 min,Quarter,Yes,Core,2000,"Native to South Africa, Rooibos bush is a different plant from the tea plant, which gives a pleasant beverage with no caffeine and almost no tannin.",,Honey
Vive Pâques!,Palais de Thés,Infusion,South Africa,Rooibos,Evening,90℃,5 min,Half,Unavailable,Core,2020,You will be surprised by this original recipe of rooibos with some gourmet notes of milk chocolate and speculoos cookies. A pleasure for kids and grown-ups alike.,"Cocoa kernels (24%), carob, cinnamon (9%), natural flavours (incl. chocolate and biscuit 3%), cloves","Honey, chocolate"
Rooibos de Noël,Dammann Frères,Infusion,South Africa,Christmas,Day,95℃,5 min,Full,Yes,Range,2025,"A rooibos with delicious notes of orange and gingerbread combined with notes of ginger, clove and pink berry in an festive infusion.","Rooibos (Aspalathus linearis), spices (pink peppers, ginger bits, cloves), orange peel, flavors (gingerbread, bitter orange, cherry)","Honey, spice"
Tisane de Noël,Dammann Frères,Infusion,/,Christmas,Day,100℃,5 min,Full,Yes,Range,2025,"Lemon balm, cocoa beans, cardamom and ginger are just some of the flavors that make up this delicious herbal tea. For those who like spicy notes and cocoa beans, Tisane de Noël is a hot, seasonal beverage not to be missed!","Cinnamon, lemon balm, cocoa beans, cardamom, liquorice, ginger, pink peppers, chocolate flavor, clove, flower petals, black pepper","Spicy, warm"
l’Herboriste N63 - Immune,Palais de Thés,Infusion,/,,Evening,100℃,5 min,Half,,Range,2024,"L'Herboriste No. 63 is a delicious blend of thyme, mandarin oranges and rosemary, and is renowned for its capacity to stimulate the body's immune defences.
This slightly zesty organic herbal tea made from aromatic plants brings to mind Provence and the south of France. This organic herbal tea contains zero caffeine, and can be enjoyed at any time of day or night.","Apple, lemongrass, thyme, rosemary, fennel, natural lychee flavouring, lemon balm, mandarin, lavender, beetroot, natural mandarin flavouring","Fruity, vegetal"
l’Herboriste N74 - Sleep,Palais de Thés,Infusion,/,,Evening,100℃,5 min,Full,,Range,2024,"L'Herboriste No. 74 is a refined blend of lime, chamomile and orange blossom, each recognised for their soothing qualities.
This mildly sour organic herbal tea reveals zesty notes and is strongly reminiscent of orange blossom. This organic herbal tea contains zero caffeine, and can be enjoyed at any time of day. It is perfect when enjoyed in the evening, to treat yourself as you prepare for bed.","Apple, orange peel, chamomile, lemon verbena, lemon balm, limeflower, nettle, natural orange blossom flavour, orange essential oil",Fruity
on a cloud - Peace,Palais de Thés,Infusion,/,,Evening,100℃,5 min,Full,,Range,2024,"An organic and relaxing blend of lavender, passionflower, valerian and chamomile.","Rosehip seed, apple, chamomile, passionflower herb, lavender, valerian, natural Bourbon vanilla and orange flavouring","Fruity, floral"
Milky Oolong,Dammann Frères,Oolong (Blue),Thailand,,Evening,90℃,4-5 min,Empty,Yes; not DF,History,2025,"The fresh and floral notes of the green oolong tea is matched with subtle creamy notes offering like the very rare namesake tea, a mild smooth and milky liquor. Delicious on its own, or to accompany a snack time.",Cream flavor,Cream
Milky Oolong,Palais de Thés,Oolong (Blue),Thailand,,Evening,90℃,4 - 5 min,Full,,Core,2020,"A Taiwanese community has been growing tea for a number of decades in the village of Mae Salong in Northern Thailand.
Inspired by Taiwanese oolong teas made from the jin xuan cultivar, it develops deliciously buttery notes and naturally reveals surprising milky-vanilla aromatic nuances.
This tea is organically grown and has been certified by an approved independent testing center.",,"Creamy, sweet, floral, vanilla"
Bao Zhong Impérial,Palais de Thés,Oolong (Blue),Taiwan,,Evening,90℃,5 min,Quarter,Unavailable,Testing,2022,"One of the most delicate oolong from Taiwan. 
This oolong is plucked in the northern reaches of the island of Taïwan.  The name of this tea means “wrapped in paper”, in reference to its long, crumpled  leaves. This lightly-oxidised tea reveals floral, vegetal and lightly-spiced notes.",,"Vegetal, floral, vanilla, butter, spices"
Butterfly of Taiwan,Palais de Thés,Oolong (Blue),Taiwan,,Evening,95℃,5 - 7 min,Half,,Testing,2022,"Butterfly of Taiwan is a gorgeous oolong from Taiwan. Woody and honeyed, mellow with a lingering flavor, it will delight connoisseurs.",,"Wood, honey"
Tie Guan Yin,Palais de Thés,Oolong (Blue),China,,Evening,95℃,5 - 7 min,Quarter,,Testing,2022,"Tie Guan Yin Impérial is a partially-oxidated oolong from Fujian rolled into pearls. The leaves have been lightly roasted to provide the traditional “fire taste” – a blend of mineral and toasted notes. Its name means “iron goddess of mercy”, in reference to the famous legend according to which the goddess Guan Yin appeared to a pious man who took care of her temple and offered him a tea plant boasting exquisite scents.",,"Mineral, toasted"
Si Ji Chun,Palais de Thés,Oolong (Blue),Taiwan,Specials - Grand Crus,Evening,90℃,5 min,Half,,Testing,2026,"In Baguashan, the Wang family produces spectacular, iconic oolong teas. This one is made from the renowned si ji chun cultivar. Its leaves are rolled into pearl shapes and lightly oxidised, ensuring its notes stay fresh.
This delicate oolong is sweet and silky to taste, revealing elegant fresh flower and vanilla notes. A highly smooth tea.",,"Floral, vegetal, vanilla, mineral"
Jade Oolong,Palais de Thés,Oolong (Blue),Indonesia,,Day,90℃,5 min,Quarter,,Core,2026,"A delicious oolong from Java which reveals elegant floral and vanilla fragrances against a smooth texture.
Thanks to its high mountains, mineral-rich volcanic soil, exceptional biodiversity and tropical climate, this archipelago provides the ideal conditions for growing tea plants. This oolong has a medium degree of oxidation and is grown at an altitude of around 1000 metres on Mount Halimun. The cultivar used in its manufacture comes from Taiwan. Its aromatic profile and the pearl-shaped leaves are reminiscent of the famous Dong Ding tea from Nantou.
It can be enjoyed at any time of day.
",,"Floral, vanilla, vegetal, milky"
Dong Ding,Palais de Thés,Oolong (Blue),Taiwan,Specials - Grand Crus,Evening,90℃,5 min,Empty,Unavailable,Archive,2022,"With its leaves rolled into pearls, this partially-oxidated tea is one of the most famous from Taiwan. Dong Ding means “icy summit”, in reference to the name of the hill overlooking the village beside Lake Lu Gu.",,"Floral, buttery, vanilla"
Dong Ding,Yoshi,Oolong (Blue),Taiwan,Specials - Grand Crus,Evening,90℃,5 min,Quarter,,Core,2025,"Classic Dong Ding Oolong tea from the original Lugu terroir in Taiwan at an altitude of 900 metres. Sweet and floral with a pistachio-like, nutty flavour profile. From one of the few completely pesticide-free farms in the entire region. An ideal introductory Taiwanese Oolong, perfect for daily enjoyment.",,"Floral, sweet, nutty"
Thai Oolong Sticky Rice,Yoshi,Oolong (Blue),Thailand,,Evening,90℃,5 min,Empty,No,History,2025,"This very special lightly roasted Milky Oolong tea from Thailand is blended with Nuo Mi Xiang, also known as the sticky rice herb, which imparts a deliciously sweet aroma reminiscent of baked goods. Made from the Taiwanese Jin Xuan cultivar grown at an altitude of 1250m at a leading organic farm in Doi Mae Salong",Nuo Mi Xiang,"Sweet, caramel, baked goods"
Tie Guan Yin Anxi Qing Xiang,Yoshi,Oolong (Blue),China,,Evening,90℃,5 min,Quarter,,Testing,2025,"Original Tie Guan Yin Oolong from the No. 1 terroir for this tea in Anxi, China. A perfectly balanced Qing Xiang flavour profile with light roasting, creating a multi-layered Tie Guan Yin with buttery roast notes and hints of apricot. Produced by an award-winning tea farm renowned for its natural cultivation philosophy, free from chemical pesticides",,"Popcorn, apricot, mineral"
La La Shan Gaba Oolong,Yoshi,Oolong (Blue),Taiwan,Specials - Grand Crus,Evening,85℃,3 - 5 min,Half,,Testing,2026,"Prize-winning tea farm in one of the finest terroirs for High Mountain Oolong tea. From La La Mountain at 1,400m above sea level.",,"Sweet, intense, buttery, light, flavoursome, pleasant roasted notes"
Flower Moon,Mariage Frères,Oolong (Blue),n.a.,Specials - Blue,Day,95℃,5 min,Full,No,Range,2022,"To illustrate the Flower Moon, a full moon with super magnetic power, we created a sensual blue tea scented with pearly almond and blended with delicate spices.","Flavors, cornflower","Almond, spices"
Perles Noires,Palais de Thés,Oolong (Blue),Taiwan,Specials - Grand Crus,Day,90℃,5 min,Empty,Unavailable,Archive,2024,"This oolong is produced in Nantou, where it is rolled into pearls. This tea stands out through its particularly intense oxidation process, which causes
the tea to develop honeyed notes, and its leaves to turn a especially deep colour. Its honeyed, fruity and vanilla notes blend with a subtly sweet taste, and
develop to perfection against a highly round texture.",,"Honey, fruity, vanilla"
Darjeeling Castleton Moonlight Oolong,Twinnings,Oolong (Blue),Tibet,,Day,90℃,5 min,Quarter,No,Testing,2022,"The Castleton estate, founded in 1885 in the Kurseong Valley, produces some of the very finest Darjeeling teas. Moonlight oolong is an extraordinary tea that is produced in very limited quantities. Its slender, twisted leaves with furry white tips deliver a deliciously mellow, fragrant liquor, with slight peach sweetness and warming, lingering honey notes.",,"Fruity, honey"
Java Silver Tips,Twinnings,White,Indonesia,,Evening,85℃,3 min,Empty,No,History,2022,"White Silver Tips are the buds of the tea plant Camellia Sinensis, plucked before they are actually open. When infused the fluffy, silvery leaves give a liquor that has a creamy appearance, a delicate fruity flavour, and a lightness of touch on the palate.",,"Floral, sweet"
Silver Needle Moonlight,Yoshi,White,China,,Evening,80℃,3 min,Full,,Testing,2025,"Top quality Silver Needle White Tea from Yunnan, cultivated at over 1600m on an organic-certified farm, with sweet notes of peach and jasmine. Excellent to enjoy as a cold brew, this silver needle made from a Moonlight cultivar is particularly full-bodied and intense thanks to a special withering process.",,"Sweet, aromatic, peach, jasmine"
Bai Mu Dan,Palais de Thés,White,China,,Day,75℃,8 - 10 min,Half,,Range,2021,"""White peony"" is a very fine tea, made up of all sorts of leaves in their natural state: silvery buds, Souchong leaves, first and second leaves and stems.",,"Vegetal, floral, hazelnut, chestnut"
Yunnan Moonlight,Yoshi,White,China,,Evening,80℃,3 - 5 min,Half,,Testing,2025,"Classic Moonlight White Tea from Yunnan with sweet notes of candy floss and dark peach, cultivated at over 1600m on an organic-certified farm. Excellent to enjoy as a cold brew, this white tea made from an indigenous large-leaf cultivar is particularly full-bodied and intense thanks to a special withering process.",,"Mild, clear, sugary, vanilla"
Ya Bao Purple,Yoshi,White,China,Specials - Rare,Evening,75℃,3 min,Full,,Range,2025,"Hand-selected buds of the extremely rare purple cultivar. Hand-picked from wild-growing Pu-Erh tea trees. Top terroir for ya bao in Da Xue Shan. Top quality, absolutely pure. 1st spring harvest. Unparalleled peach and apricot taste. Excellent as a cold brew.",,"Refreshing, light, juicy, sweet"
Huo Shan Huang Ya,Twinnings,Yellow,China,,Day,85℃,3 min,Full,,Range,2022,"A superb yellow tea from the misty mountains of Anhui Province in East China. First produced in the seventeenth century, in the time of the Ming and Qing Dynasties, its quality marked it as an Imperial Tribute tea and it has been famed for its flavour ever since.
The succulent, silvery buds are plucked early in the growing season, wrapped in parcels to mellow the tea, then dried slowly (giving rise to the distinctive colour) and are hand crafted into pointed, yellow-green leaves. When infused in hot water the liquor is the palest green, with a slight floral aroma and gentle, smooth, sweet flavour.",,Fruity
